"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 02 14:30:31 GMT 2025","Thu Jan 02 14:30:40 GMT 2025","9492","tests","test_projects_management","TestProjectsManagement","","","TC25: Successful change of the Project name and type.","
    This test verifies that the project name and type can be successfully changed.
    "
"passed","Thu Jan 02 14:29:37 GMT 2025","Thu Jan 02 14:29:46 GMT 2025","9048","tests","test_projects_management","TestProjectsManagement","","","TC23: Successful creation of a new Task List.","
    This test verifies that a new Task List can be successfully created with a valid name.
    "
"passed","Thu Jan 02 14:34:20 GMT 2025","Thu Jan 02 14:34:29 GMT 2025","9032","tests","test_task_search","TestTaskSearch","","","TC37: Successful search for a task with a specific comment.","
    This test verifies that a user can successfully search for a task with a specific comment, ensuring that tasks containing the specified comment are correctly identified and displayed in the search results.
    "
"passed","Thu Jan 02 14:26:09 GMT 2025","Thu Jan 02 14:26:18 GMT 2025","9316","tests","test_profile_management","TestProfileManagement","","","TC10: Inability to change the current password with an incorrect password.","
    This test verifies that a user cannot change the current password when providing an incorrect current password.
    "
"passed","Thu Jan 02 14:32:19 GMT 2025","Thu Jan 02 14:32:29 GMT 2025","10472","tests","test_projects_management","TestProjectsManagement","","","TC30: Successful task moving on Board.","
    This test verifies that a user can successfully move a task from one column to another on the Board, ensuring the task's position is updated correctly and persists after a page refresh.
    "
"passed","Thu Jan 02 14:30:52 GMT 2025","Thu Jan 02 14:31:03 GMT 2025","11593","tests","test_projects_management","TestProjectsManagement","","","TC26: Successful deletion of a Project.","
    This test verifies that a user can successfully delete an existing project.
    "
"passed","Thu Jan 02 14:33:47 GMT 2025","Thu Jan 02 14:33:57 GMT 2025","10128","tests","test_task_filtering","TestTaskFiltering","","","TC35: Successful filtering for a task by its due date.","
    This test verifies that a user can successfully filter tasks by their due date, ensuring the filtered tasks match the specified date and display correctly in the task list.
    "
"passed","Thu Jan 02 14:26:27 GMT 2025","Thu Jan 02 14:26:36 GMT 2025","9109","tests","test_profile_management","TestProfileManagement","","","TC11: Inability to delete the account with an incorrect email or password.","
    This test verifies that a user cannot delete their account when providing an incorrect email or password.
    "
"passed","Thu Jan 02 14:33:28 GMT 2025","Thu Jan 02 14:33:37 GMT 2025","9202","tests","test_task_filtering","TestTaskFiltering","","","TC34: Successful filtering for a task by its label.","
    This test verifies that a user can successfully filter tasks by their label, ensuring the filtered tasks match the specified label and display correctly in the task list.
    "
"passed","Thu Jan 02 14:27:57 GMT 2025","Thu Jan 02 14:28:00 GMT 2025","3200","tests","test_task_management","TestTaskManagement","","","TC16: Successful task completion and marking as completed.","
    This test verifies that a task can be successfully marked as completed and moved to the ""Completed"" section.
    "
"passed","Thu Jan 02 14:24:40 GMT 2025","Thu Jan 02 14:24:43 GMT 2025","3314","tests","test_authorization","TestAuthorization","","","TC03: Successful logout from an account.","
    This test verifies that a user can successfully logout from an account and is redirected to the login page.
    "
"passed","Thu Jan 02 14:28:16 GMT 2025","Thu Jan 02 14:28:26 GMT 2025","10653","tests","test_task_management","TestTaskManagement","","","TC18: Successful task creation with a link.","
    This test verifies that a task can be successfully created with a link, and clicking the link opens a new browser tab with the correct URL.
    "
"passed","Thu Jan 02 14:24:13 GMT 2025","Thu Jan 02 14:24:29 GMT 2025","15774","tests","test_registration","TestRegistration","","","TC01: Successful registration of a new account with valid information.","
    This test verifies that a new account can be successfully registered using valid email, password, and username information.
    "
"passed","Thu Jan 02 14:28:09 GMT 2025","Thu Jan 02 14:28:11 GMT 2025","1801","tests","test_task_management","TestTaskManagement","","","TC17: Successful task deletion.","
    This test verifies that a task can be successfully deleted and is no longer visible in the task list.
    "
"passed","Thu Jan 02 14:31:54 GMT 2025","Thu Jan 02 14:32:07 GMT 2025","12954","tests","test_projects_management","TestProjectsManagement","","","TC29: Successful archiving of a Project.","
    This test verifies that a user can successfully archive a project, confirm its archival in the archived projects section, and restore it back to the active projects section.
    "
"passed","Thu Jan 02 14:28:35 GMT 2025","Thu Jan 02 14:28:42 GMT 2025","7621","tests","test_task_management","TestTaskManagement","","","TC19: Successful addition of a comment to a task.","
    This test verifies that a user can successfully add a comment to a task and that the comment appears in the ""Comments"" section.
    "
"broken","Thu Jan 02 14:34:04 GMT 2025","Thu Jan 02 14:34:10 GMT 2025","6073","tests","test_task_search","TestTaskSearch","","","TC36: Successful search for a task that contains links.","
    This test verifies that a user can successfully search for a task containing links, ensuring that tasks with URLs are correctly identified and displayed in the search results.
    "
"passed","Thu Jan 02 14:31:35 GMT 2025","Thu Jan 02 14:31:43 GMT 2025","8774","tests","test_projects_management","TestProjectsManagement","","","TC28: Successful duplication of a Task List.","
    This test verifies that a user can successfully duplicate an existing task list, creating an identical copy.
    "
"passed","Thu Jan 02 14:25:51 GMT 2025","Thu Jan 02 14:25:54 GMT 2025","3184","tests","test_registration","TestRegistration","","","TC08: Unsuccessful registration of a new account with invalid information.","
    This test verifies that a new user cannot register an account when providing invalid information, such as incorrect email format, missing password, or other invalid inputs.
    "
"passed","Thu Jan 02 14:32:38 GMT 2025","Thu Jan 02 14:32:45 GMT 2025","6853","tests","test_task_search","TestTaskSearch","","","TC31: Successful search for a task by its name.","
    This test verifies that a user can successfully search for a task by its exact name, ensuring that the correct task is displayed in the search results.
    "
"passed","Thu Jan 02 14:27:20 GMT 2025","Thu Jan 02 14:27:30 GMT 2025","10100","tests","test_task_management","TestTaskManagement","","","TC14: Successful addition of a sub-task.","
    This test verifies that a sub-task can be successfully added to an existing task.
    "
"passed","Thu Jan 02 14:26:43 GMT 2025","Thu Jan 02 14:26:54 GMT 2025","10958","tests","test_task_management","TestTaskManagement","","","TC12: Successful task creation.","
    This test verifies that a task can be successfully created with all required fields filled.
    "
